title,type,release_year,rating,listed_in,description,similarity_score,source_title
"Rica, Famosa, Latina",TV Show,2016,TV-MA,"International TV Shows, Reality TV, Spanish-Language TV Shows","This reality series follows the lives of a group of wealthy, successful Latina women in Los Angeles.",0.2826621,Reality of Dream
Diva Brides,TV Show,2017,TV-MA,"British TV Shows, Reality TV","In this reality series, brides-to-be stop at nothing to have their dream weddings despite meager funds, fallouts with friends or even absent grooms.",0.2822476,Reality of Dream
"Big Dreams, Small Spaces",TV Show,2017,TV-G,"British TV Shows, International TV Shows, Reality TV",Writer and presenter Monty Don helps England's budding horticulturists plant and grow the gardens of their dreams.,0.24697796,Reality of Dream
Momo Salon,TV Show,2014,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","An aspiring hair stylist opens her own salon. It turns into a mail-holding hub for busy neighbors, but she seizes the chance to promote her business.",0.24194115,Reality of Dream
The Repair Shop,TV Show,2018,TV-PG,"British TV Shows, Reality TV",Expert artisans restore timeworn family heirlooms with touching sentimental value while also uncovering their uniquely rich histories.,0.23301268,Reality of Dream
Life After Beth,Movie,2014,R,"Comedies, Horror Movies, Independent Movies","Following the death of his beloved girlfriend, Beth, Zach is first shattered and then overjoyed when she inexplicably comes back to life.",0.37716106,The Little Hours
Horse Girl,Movie,2020,R,"Dramas, Independent Movies","A sweet misfit with a fondness for crafts, horses and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",0.29897645,The Little Hours
Sleeping with Other People,Movie,2015,R,"Comedies, Dramas, Independent Movies","Many years after hooking up in college, two people cross paths and realize they are both serial philanderers who need each other's help to reform.",0.2633482,The Little Hours
Fred Armisen: Standup For Drummers,Movie,2018,TV-PG,"Music & Musicals, Stand-Up Comedy","For an audience of drummers, comedian Fred Armisen shares and demonstrates his thoughts on musical genres, drummer quirks, regional accents and more.",0.25081354,The Little Hours
Portlandia,TV Show,2018,TV-14,TV Comedies,"Fred Armisen and Carrie Brownstein send up the residents of Portland, Ore. Typical targets include artisanal light bulbs and feminist bookstores.",0.21589503,The Little Hours
Alien Worlds,TV Show,2020,TV-PG,"British TV Shows, Docuseries, International TV Shows","Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets.",0.26962358,Alien Xmas
Miniforce X,TV Show,2018,TV-Y7,"Kids' TV, Korean TV Shows",Zenos wants to use the Earth’s negative energy for his own good – and it's up to Miniforce X to stop this space alien’s evil plans.,0.25257462,Alien Xmas
